Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar
107.445,6.01,264,1.3,3.18,1.08,1360.75904318386,3299.8519681097196,623.9169230769231,3.93159382211823
78.443,6.92,279,0.67,2.81,1.14,1503.601795969313,2709.4250516614106,725.5859701492536,4.228175017350983
149.278,5.34,202,0.75,3.27,1.12,920.2192855964402,2855.473897769485,717.5933333333334,2.7967675372139866
70.625,6.44,274,0.82,2.23,0.88,872.9748889940784,3056.214394375717,659.8619512195122,4.1284056223085095
95.846,6.23,183,1.4,3.37,0.65,1345.4657964114044,3225.0333208891375,622.3457142857143,2.4804624914398152
174.397,5.63,210,1.22,3.01,0.97,2196.177142593089,3119.144367190434,625.5275409836065,2.9345512933598257
155.397,6.37,261,1.11,3.06,0.53,3993.3983680502347,3119.144367190434,640.4241441441441,3.873267235189054
134.396,5.43,161,1.27,3.17,1.2,911.3878358481044,2934.557027581037,626.444251968504,2.134288787209898
91.343,5.84,368,0.99,3.55,0.49,807.7588235314944,3262.892004013159,676.5161616161615,6.147571201853059
67.536,6.94,228,0.92,2.58,0.87,1128.2267754203485,2705.313824781393,651.953043478261,3.2541796019867695
112.384,5.86,244,0.91,2.26,0.83,1253.4136596059357,3271.448115739806,641.7041758241758,3.5491214734739582
137.189,6.94,183,1.34,2.38,0.45,4655.478374243355,2705.313824781393,589.8429850746269,2.4804624914398152
71.99,6.17,363,1.1,3.74,1.19,717.9081964826203,3258.222608101183,667.5745454545454,6.032863099698022
173.23,5.4,197,1.21,3.53,0.82,1421.1197124350867,2907.294901687516,646.3714049586777,2.7120214103846285
140.685,6.58,230,1.05,2.44,0.57,3853.2698130512545,2925.3930338505434,625.1009523809524,3.290498163410971
113.153,6.57,261,0.73,2.0,0.55,2474.48724311419,2934.557027581037,675.1780821917808,3.873267235189054
92.94,6.82,135,1.05,2.83,0.89,1982.2112832001671,2746.7016223493956,639.9209523809524,1.7548466041712032
83.396,6.23,260,0.95,2.81,0.73,1018.6268448817933,3225.0333208891375,655.2010526315789,3.8538992232921974
143.677,6.97,198,1.2,3.73,0.82,5199.480860629061,2701.331410619076,655.0733333333334,2.728885569068094
158.319,5.38,157,0.74,2.78,1.18,1135.8220488808233,2889.5626341945967,701.8562162162162,2.0737634892193935
135.549,6.0,276,1.25,2.52,0.99,2142.4765795156063,3300.0,603.76,4.168205097864622
101.126,6.59,231,1.13,3.06,0.84,2005.4988906136073,2916.302668188231,637.8729203539823,3.3087168315798587
103.742,6.32,225,0.9,3.74,1.2,1706.4506153621237,3160.748038493699,699.8977777777777,3.2
101.021,5.65,210,0.72,3.87,1.11,760.0737908276468,3136.1971499218644,749.2822222222221,2.9345512933598257
95.078,6.32,280,1.01,2.8,0.86,1433.324640299933,3160.748038493699,644.8158415841584,4.248236918872658
89.776,5.93,123,1.05,3.98,1.03,869.1811648516274,3292.775028581624,683.6209523809524,1.5913087922306866
122.378,6.62,317,1.31,3.47,0.94,3001.1474570502614,2889.5626341945963,633.9974045801526,5.015219631424367
123.879,5.39,196,0.62,3.46,0.73,711.0347467402222,2898.3786239264123,769.5445161290322,2.6952000000000003
105.47,6.31,339,1.13,2.24,0.71,1748.7017749300328,3168.6250133556396,606.7129203539823,5.493321555838358
158.473,6.71,281,1.11,3.1,1.07,5358.4818464879245,2816.127883904107,641.9441441441442,4.268334677281199
128.804,5.51,234,0.77,3.97,0.65,977.8728336260939,3009.4232277234382,738.6522077922078,3.3636093588337084
126.363,5.42,291,1.36,3.81,0.9,789.1087874656929,2925.3930338505434,642.4270588235294,4.471270507029205
117.866,6.55,128,1.07,3.87,0.43,2645.5402965108797,2953.069660487931,676.5927102803738,1.6585237502960395
171.035,5.29,379,0.86,3.56,0.95,1064.6643580058326,2816.127883904107,701.3265116279069,6.402674051648117
116.321,5.93,289,0.95,2.78,1.2,1459.1705576284467,3292.775028581624,654.061052631579,4.430400000000001
88.225,6.55,217,0.67,2.17,1.05,1482.2471524791529,2953.069660487931,701.2659701492537,3.0572876881571225
126.493,5.67,288,1.4,2.04,0.91,1228.2756471359064,3152.7124247251113,571.8057142857143,4.410017657249133
98.738,6.27,337,1.2,2.75,0.78,1480.0248748003594,3198.393559597096,617.8333333333334,5.449198108784897
171.22,6.22,380,1.07,2.98,0.95,4254.726619863743,3231.153972832737,642.7727102803739,6.426050961643851
174.179,6.66,379,0.81,3.34,1.11,6253.832433903669,2855.4738977694856,704.4508641975308,6.402674051648117
165.803,5.71,333,0.78,3.15,0.68,2237.311247670963,3183.872116095893,704.8282051282051,5.3613438142143375
132.451,5.57,137,1.33,3.2,0.96,1149.0429254429166,3065.442972418963,621.9007518796993,1.782835110214871
77.846,6.5,284,0.69,3.02,0.7,1111.332535400474,3000.0,726.6440579710145,4.328842456931337
152.17,6.05,167,1.36,2.44,0.41,2847.271791468447,3296.3065021785415,590.3670588235294,2.2264924905715633
72.278,6.8,165,1.29,2.44,0.97,1183.4204645847838,2757.294901687516,596.751007751938,2.195570700383797
134.511,6.15,167,0.76,3.79,0.97,2458.8799698073176,3267.3019572565104,734.5463157894736,2.2264924905715633
124.341,6.0,306,0.66,2.38,0.81,1802.819134351318,3300.0,712.8642424242424,4.782251071574389
161.621,5.98,239,0.64,2.58,0.47,2980.0943627968104,3299.4080185284815,728.04,3.4558802682111467
140.261,5.91,251,1.09,3.71,1.19,2072.9153216534173,3288.088105703083,667.7689908256881,3.6812702871651757
150.522,5.41,138,0.63,2.68,0.47,1096.2675860046572,2916.3026681882316,735.808253968254,1.7969063497415687
72.305,6.51,394,1.19,3.92,0.53,966.0941042438538,2990.5767722765618,663.413781512605,6.756541357651207
142.592,6.92,161,0.66,2.88,1.16,4968.379572641181,2709.4250516614106,731.8642424242424,2.134288787209898
151.025,5.52,211,1.33,2.19,0.63,1369.0451199230085,3018.8371558587937,583.5207518796992,2.9519616310211707
178.576,6.37,380,1.02,3.98,0.85,5273.555938131771,3119.144367190434,688.1027450980392,6.426050961643851
91.893,6.88,167,1.32,3.78,0.82,2012.9594337805568,2721.0670542335247,644.8521212121212,2.2264924905715633
85.803,6.33,193,1.32,3.64,0.66,1177.3121684516002,3152.7124247251113,639.5321212121212,2.64499335197105
146.462,6.74,335,0.76,2.31,0.96,4670.678743653428,2794.635868221393,678.3063157894736,5.405205398349798
81.121,6.65,340,0.9,3.94,0.8,1347.0312330355391,2863.8028500781356,707.4977777777779,5.515432184767331
169.614,5.72,228,0.71,3.86,0.86,2374.8456875333777,3191.2271969246067,752.0321126760564,3.2541796019867695
158.762,6.2,254,1.22,2.87,0.57,3591.2645313592266,3242.705098312484,620.2075409836066,3.7384750979434753
142.631,6.07,274,1.34,3.98,0.49,2553.64497628899,3292.775028581624,650.6429850746268,4.1284056223085095
143.181,5.46,175,0.77,2.82,0.95,1098.9191108970695,2962.4000299307086,694.9522077922078,2.3520259177452134
165.383,6.06,157,1.39,3.74,0.47,3398.2182450149094,3294.686175218607,637.2279136690647,2.0737634892193935
105.788,5.82,336,1.13,2.95,0.42,1056.4303360303738,3253.298377650605,633.6929203539823,5.42718538721652
153.969,5.54,350,0.66,3.97,0.67,1474.5368866868644,3037.5999700692914,773.2842424242424,5.738320341483519
78.007,7.0,376,1.07,3.1,1.03,1560.2869085115528,2700.0,647.3327102803738,6.332728404443327
165.807,6.94,247,0.81,2.05,1.2,6800.352979139504,2705.313824781393,655.4308641975308,3.605527768351138
77.897,6.31,203,0.9,2.31,1.04,953.8922566890849,3168.6250133556396,645.5577777777778,2.8138438322410613
172.509,6.76,328,1.19,3.29,0.68,6566.65553795553,2781.309411773577,639.473781512605,5.252266120494517
