Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar,Printable
15.717,6.94,138,0.77,2.4,0.78,61.103352515873176,2705.313824781393,678.9922077922078,1.7969063497415687,True
12.239,6.17,202,1.33,2.9,0.75,20.749920361292663,3258.222608101183,610.5007518796992,2.7967675372139866,True
15.903,6.58,104,1.08,3.87,0.7,49.237041340674324,2925.3930338505434,675.2081481481481,1.3484768470618396,True
14.435,6.57,238,1.22,3.67,0.83,40.27046552368119,2934.557027581037,650.6075409836066,3.4373481373511043,True
13.357,6.82,238,0.69,2.43,0.86,40.94137833629272,2746.7016223493956,704.2240579710145,3.4373481373511043,True
12.848,6.23,182,0.82,2.77,0.51,24.17662820940221,3225.0333208891375,680.3819512195122,2.464251389206585,True
16.063,6.97,131,0.76,3.54,0.84,64.9888422219104,2701.331410619076,725.0463157894736,1.6994908253088057,True
10.115,6.76,160,0.76,3.98,0.68,22.576285800672135,2781.309411773577,741.7663157894737,2.1190861620062105,True
10.929,6.91,124,0.7,3.15,0.8,29.007872051153218,2711.911894296917,728.2714285714286,1.6046444495854764,True
15.629,6.0,141,1.03,2.98,0.75,28.483006538110796,3300.0,648.5798058252427,1.8394257874178772,True
13.793,6.59,138,1.36,2.62,0.43,37.309054234419655,2916.302668188231,597.2070588235295,1.7969063497415687,True
13.933,6.32,180,1.37,3.22,0.72,30.78036502940917,3160.748038493699,619.1483211678832,2.4319627325598185,True
13.471,6.32,224,1.21,3.75,0.57,28.772934955872365,3160.748038493699,654.7314049586777,3.182020014839561,True
14.927,6.62,181,0.69,3.56,0.88,44.65043531559659,2889.5626341945963,747.1640579710145,2.448084762016273,True
10.362,6.58,210,0.71,3.26,0.49,20.903596143407757,2925.3930338505434,729.2321126760563,2.9345512933598257,True
14.025,6.31,153,1.14,3.2,0.43,30.921716826244854,3168.6250133556396,641.9508771929825,2.014004385726805,True
16.852,6.71,240,1.34,2.96,0.64,60.594625497158745,2816.127883904107,611.8829850746268,3.474451209887296,True
10.212,6.62,226,0.95,3.41,0.41,20.89788062320709,2889.5626341945963,678.001052631579,3.218019985209822,True
14.686,6.55,122,1.29,3.21,0.64,41.07185691825699,2953.069660487931,626.011007751938,1.5780272352774767,True
14.604,5.93,176,0.97,2.76,0.45,23.000297444042648,3292.775028581624,649.8284536082474,2.3679230819281614,True
13.105,6.55,131,0.95,2.66,0.51,32.70478822012917,2953.069660487931,649.501052631579,1.6994908253088057,True
13.666,6.27,205,1.36,2.34,0.55,28.351967037679014,3198.393559597096,586.5670588235294,2.848122654377322,True
17.532,6.22,197,0.98,3.7,0.61,44.6093195749697,3231.153972832737,683.865306122449,2.7120214103846285,True
17.69,6.66,148,1.32,3.69,0.68,64.50751627791021,2855.4738977694856,641.4321212121213,1.9403981671746184,True
17.243,5.71,103,0.99,3.64,0.44,24.197321441236905,3183.872116095893,679.9361616161616,1.3362686649635989,True
